timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663233113610,15068,https://opensource-demo.orangehrmlive.com/,200,OK,Orange HRM 1-4,text,true,,3638687,4873,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1981,0,1747
1663233113610,1981,https://opensource-demo.orangehrmlive.com/-0,302,Found,Orange HRM 1-4,text,true,,1054,629,5,5,https://opensource-demo.orangehrmlive.com/,1981,0,1747
1663233115591,426,https://opensource-demo.orangehrmlive.com/-1,200,OK,Orange HRM 1-4,text,true,,4415,653,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,425,0,0
1663233116019,1334,https://opensource-demo.orangehrmlive.com/-2,200,OK,Orange HRM 1-4,bin,true,,1674,715,5,5,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,1334,0,866
1663233116019,3243,https://opensource-demo.orangehrmlive.com/-3,200,OK,Orange HRM 1-4,text,true,,522300,725,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,777,0,0
1663233116019,5699,https://opensource-demo.orangehrmlive.com/-4,200,OK,Orange HRM 1-4,text,true,,489143,715,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,1748,0,866
1663233116021,12657,https://opensource-demo.orangehrmlive.com/-5,200,OK,Orange HRM 1-4,text,true,,1160473,723,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,2253,0,1292
1663233116023,11002,https://opensource-demo.orangehrmlive.com/-6,200,OK,Orange HRM 1-4,text,true,,1459628,713,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,2245,0,1284
1663233128679,621,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,200,OK,Orange HRM 1-4,text,true,,95294,619,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,395,0,0
1663233115609,14101,Homepage,200,"Number of samples in transaction : 2, number of failing samples : 0",Orange HRM 1-5,,true,,3733970,5492,5,5,null,0,3,940
1663233115610,13576,https://opensource-demo.orangehrmlive.com/,200,OK,Orange HRM 1-5,text,true,,3638676,4873,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,1427,0,940
1663233115610,1427,https://opensource-demo.orangehrmlive.com/-0,302,Found,Orange HRM 1-5,text,true,,1054,629,5,5,https://opensource-demo.orangehrmlive.com/,1427,0,940
1663233117037,596,https://opensource-demo.orangehrmlive.com/-1,200,OK,Orange HRM 1-5,text,true,,4404,653,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,596,0,0
1663233117635,482,https://opensource-demo.orangehrmlive.com/-2,200,OK,Orange HRM 1-5,bin,true,,1674,715,5,5,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,482,0,0
1663233117635,5396,https://opensource-demo.orangehrmlive.com/-3,200,OK,Orange HRM 1-5,text,true,,522300,725,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,2361,0,1169
1663233117635,5436,https://opensource-demo.orangehrmlive.com/-4,200,OK,Orange HRM 1-5,text,true,,489143,715,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,2233,0,1041
1663233117638,10378,https://opensource-demo.orangehrmlive.com/-5,200,OK,Orange HRM 1-5,text,true,,1160473,723,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,2957,0,1634
1663233117641,11545,https://opensource-demo.orangehrmlive.com/-6,200,OK,Orange HRM 1-5,text,true,,1459628,713,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,3040,0,1671
1663233129187,525,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,200,OK,Orange HRM 1-5,text,true,,95294,619,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,456,0,0
1663233122267,4258,Login,200,"Number of samples in transaction : 6, number of failing samples : 0",Orange HRM 1-1,,true,,29997,10106,5,5,null,0,16530,0
1663233138793,2183,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,200,OK,Orange HRM 1-1,text,true,,16319,6803,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,987,0,0
1663233138793,987,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-0,302,Found,Orange HRM 1-1,text,true,,1777,953,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,987,0,0
1663233139780,437,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-1,302,Found,Orange HRM 1-1,text,true,,1690,768,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPimModule,437,0,0
1663233140217,467,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-2,200,OK,Orange HRM 1-1,text,true,,7887,771,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,467,0,0
1663233140687,214,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-3,304,Not Modified,Orange HRM 1-1,,true,,991,857,5,5,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
1663233140687,223,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-4,304,Not Modified,Orange HRM 1-1,,true,,993,869,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663233140687,228,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-5,304,Not Modified,Orange HRM 1-1,,true,,993,859,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663233140687,228,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-6,304,Not Modified,Orange HRM 1-1,,true,,994,868,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
1663233140689,287,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-7,304,Not Modified,Orange HRM 1-1,,true,,994,858,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,0
1663233140977,359,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Orange HRM 1-1,,true,,1052,682,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663233141337,531,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,200,OK,Orange HRM 1-1,text,true,,4105,730,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?offset=0&sortOrder=ASC&limit=50&sortField=employee.firstName&model=detailed&includeEmployees=onlyCurrent,531,0,0
1663233141868,357,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,200,OK,Orange HRM 1-1,text,true,,1297,637,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,357,0,0
1663233142226,410,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,200,OK,Orange HRM 1-1,text,true,,4976,628,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,410,0,0
1663233142636,418,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,200,OK,Orange HRM 1-1,text,true,,2248,626,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,418,0,0
1663233122525,4677,Login,200,"Number of samples in transaction : 6, number of failing samples : 0",Orange HRM 1-2,,true,,29997,10100,5,5,null,0,27259,0
1663233149780,2455,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,200,OK,Orange HRM 1-2,text,true,,16319,6797,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,1358,0,0
1663233149780,1358,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-0,302,Found,Orange HRM 1-2,text,true,,1777,947,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,1358,0,0
1663233151139,357,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-1,302,Found,Orange HRM 1-2,text,true,,1690,768,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPimModule,357,0,0
1663233151496,449,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-2,200,OK,Orange HRM 1-2,text,true,,7887,771,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,449,0,0
1663233151947,287,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-3,304,Not Modified,Orange HRM 1-2,,true,,991,857,5,5,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
1663233151947,288,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-4,304,Not Modified,Orange HRM 1-2,,true,,993,869,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663233151947,283,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-5,304,Not Modified,Orange HRM 1-2,,true,,993,859,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663233151947,288,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-6,304,Not Modified,Orange HRM 1-2,,true,,994,868,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
1663233151947,287,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-7,304,Not Modified,Orange HRM 1-2,,true,,994,858,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,0
1663233152236,360,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Orange HRM 1-2,,true,,1052,682,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663233152597,562,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,200,OK,Orange HRM 1-2,text,true,,4105,730,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?offset=0&sortOrder=ASC&limit=50&sortField=employee.firstName&model=detailed&includeEmployees=onlyCurrent,562,0,0
1663233153159,378,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,200,OK,Orange HRM 1-2,text,true,,1297,637,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,378,0,0
1663233153538,436,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,200,OK,Orange HRM 1-2,text,true,,4976,628,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,436,0,0
1663233153974,486,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,200,OK,Orange HRM 1-2,text,true,,2248,626,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,486,0,0
1663233129300,4276,Login,200,"Number of samples in transaction : 6, number of failing samples : 0",Orange HRM 1-4,,true,,29997,10100,5,5,null,0,31084,0
1663233160379,2288,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,200,OK,Orange HRM 1-4,text,true,,16319,6797,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,1201,0,0
1663233160379,1201,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-0,302,Found,Orange HRM 1-4,text,true,,1777,947,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,1201,0,0
1663233161581,402,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-1,302,Found,Orange HRM 1-4,text,true,,1690,768,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPimModule,402,0,0
1663233161984,442,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-2,200,OK,Orange HRM 1-4,text,true,,7887,771,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,442,0,0
1663233162427,240,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-3,304,Not Modified,Orange HRM 1-4,,true,,991,857,5,5,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
1663233162427,199,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-4,304,Not Modified,Orange HRM 1-4,,true,,993,869,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663233162427,237,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-5,304,Not Modified,Orange HRM 1-4,,true,,993,859,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663233162427,239,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-6,304,Not Modified,Orange HRM 1-4,,true,,994,868,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
1663233162427,239,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-7,304,Not Modified,Orange HRM 1-4,,true,,994,858,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,0
1663233162668,389,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Orange HRM 1-4,,true,,1052,682,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663233163058,403,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,200,OK,Orange HRM 1-4,text,true,,4105,730,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?offset=0&sortOrder=ASC&limit=50&sortField=employee.firstName&model=detailed&includeEmployees=onlyCurrent,403,0,0
1663233163462,435,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,200,OK,Orange HRM 1-4,text,true,,1297,637,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,435,0,0
1663233163898,376,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,200,OK,Orange HRM 1-4,text,true,,4976,628,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/job-titles,376,0,0
1663233164275,385,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,200,OK,Orange HRM 1-4,text,true,,2248,626,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/subunits,385,0,0
1663233129715,4324,Login,200,"Number of samples in transaction : 6, number of failing samples : 0",Orange HRM 1-5,,true,,30253,10089,5,5,null,0,36305,0
1663233166016,2210,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,200,OK,Orange HRM 1-5,text,true,,16319,6786,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,1127,0,0
1663233166016,1127,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-0,302,Found,Orange HRM 1-5,text,true,,1777,936,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,1127,0,0
1663233167143,396,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-1,302,Found,Orange HRM 1-5,text,true,,1690,768,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewPimModule,396,0,0
1663233167539,444,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-2,200,OK,Orange HRM 1-5,text,true,,7887,771,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/pim/viewEmployeeList,444,0,0
1663233167985,238,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-3,304,Not Modified,Orange HRM 1-5,,true,,991,857,5,5,https://opensource-demo.orangehrmlive.com/web/dist/favicon.ico?1660914792648,0,0,0
1663233167985,238,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-4,304,Not Modified,Orange HRM 1-5,,true,,993,869,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/chunk-vendors.css?1660914792648,0,0,0
1663233167985,241,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-5,304,Not Modified,Orange HRM 1-5,,true,,993,859,5,5,https://opensource-demo.orangehrmlive.com/web/dist/css/app.css?1660914792648,0,0,0
1663233167985,241,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-6,304,Not Modified,Orange HRM 1-5,,true,,994,868,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/chunk-vendors.js?1660914792648,0,0,0
1663233167985,239,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate-7,304,Not Modified,Orange HRM 1-5,,true,,994,858,5,5,https://opensource-demo.orangehrmlive.com/web/dist/js/app.js?1660914792648,0,0,0
1663233168227,428,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,304,Not Modified,Orange HRM 1-5,,true,,1052,682,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,0,0,0
1663233168656,402,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?limit=50&offset=0&model=detailed&includeEmployees=onlyCurrent&sortField=employee.firstName&sortOrder=ASC,200,OK,Orange HRM 1-5,text,true,,4361,730,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/pim/employees?offset=0&sortOrder=ASC&limit=50&sortField=employee.firstName&model=detailed&includeEmployees=onlyCurrent,402,0,0
1663233169059,398,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,200,OK,Orange HRM 1-5,text,true,,1297,637,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/admin/employment-statuses,398,0,0
